type,gene
chemokine,CCL1
chemokine,CCL2
chemokine,CCL3
chemokine,CCL4
chemokine,CCL5
chemokine,CCL7
chemokine,CCL8
chemokine,CCL11
chemokine,CCL13
chemokine,CCL14
chemokine,CCL15
chemokine,CCL16
chemokine,CCL17
chemokine,CCL18
chemokine,CCL19
chemokine,CCL20
chemokine,CCL21
chemokine,CCL22
chemokine,CCL23
chemokine,CCL24
chemokine,CCL25
chemokine,CCL26
chemokine,CCL27
chemokine,CCL28
chemokine,CX3CL1
chemokine,CXCL1
chemokine,CXCL2
chemokine,CXCL3
chemokine,CXCL5
chemokine,CXCL6
chemokine,CXCL8
chemokine,CXCL9
chemokine,CXCL10
chemokine,CXCL11
chemokine,CXCL12
chemokine,CXCL13
chemokine,CXCL14
chemokine,CXCL16
chemokine,CXCL17
chemokine,XCL1
chemokine,XCL2
receptor,CCR1
receptor,CCR2
receptor,CCR3
receptor,CCR4
receptor,CCR5
receptor,CCR6
receptor,CCR7
receptor,CCR8
receptor,CCR9
receptor,CCR10
receptor,CXCR1
receptor,CXCR2
receptor,CXCR3
receptor,CXCR4
receptor,CXCR5
receptor,CXCR6
receptor,XCR1
receptor,CX3CR1
MHC,B2M
MHC,HLA-A
MHC,HLA-B
MHC,HLA-C
MHC,HLA-DMA
MHC,HLA-DMB
MHC,HLA-DOA
MHC,HLA-DOB
MHC,HLA-DPA1
MHC,HLA-DPB1
MHC,HLA-DQA1
MHC,HLA-DQA2
MHC,HLA-DQB1
MHC,HLA-DRA
MHC,HLA-DRB1
MHC,HLA-E
MHC,HLA-F
MHC,HLA-G
MHC,TAP1
MHC,TAP2
MHC,TAPBP
Immunoinhibitor,ADORA2A
Immunoinhibitor,BTLA
Immunoinhibitor,CD160
Immunoinhibitor,CD244
Immunoinhibitor,CD274
Immunoinhibitor,CD96
Immunoinhibitor,CSF1R
Immunoinhibitor,CTLA4
Immunoinhibitor,HAVCR2
Immunoinhibitor,IDO1
Immunoinhibitor,IL10
Immunoinhibitor,IL10RB
Immunoinhibitor,KDR
Immunoinhibitor,KIR2DL1
Immunoinhibitor,KIR2DL3
Immunoinhibitor,LAG3
Immunoinhibitor,LGALS9
Immunoinhibitor,PDCD1
Immunoinhibitor,PDCD1LG2
Immunoinhibitor,PVRL2
Immunoinhibitor,TGFB1
Immunoinhibitor,TGFBR1
Immunoinhibitor,TIGIT
Immunoinhibitor,VTCN1
Immunostimulator,BTNL2
Immunostimulator,C10orf54
Immunostimulator,CD27
Immunostimulator,CD276
Immunostimulator,CD28
Immunostimulator,CD40
Immunostimulator,CD40LG
Immunostimulator,CD48
Immunostimulator,CD70
Immunostimulator,CD80
Immunostimulator,CD86
Immunostimulator,CXCL12
Immunostimulator,CXCR4
Immunostimulator,ENTPD1
Immunostimulator,HHLA2
Immunostimulator,ICOS
Immunostimulator,ICOSLG
Immunostimulator,IL2RA
Immunostimulator,IL6
Immunostimulator,IL6R
Immunostimulator,KLRC1
Immunostimulator,KLRK1
Immunostimulator,LTA
Immunostimulator,MICB
Immunostimulator,NT5E
Immunostimulator,PVR
Immunostimulator,RAET1E
Immunostimulator,TMEM173
Immunostimulator,TMIGD2
Immunostimulator,TNFRSF13B
Immunostimulator,TNFRSF13C
Immunostimulator,TNFRSF14
Immunostimulator,TNFRSF17
Immunostimulator,TNFRSF18
Immunostimulator,TNFRSF25
Immunostimulator,TNFRSF4
Immunostimulator,TNFRSF8
Immunostimulator,TNFRSF9
Immunostimulator,TNFSF13
Immunostimulator,TNFSF13B
Immunostimulator,TNFSF14
Immunostimulator,TNFSF15
Immunostimulator,TNFSF18
Immunostimulator,TNFSF4
Immunostimulator,TNFSF9
Immunostimulator,ULBP1